[ 2026-09-11 22:45:43,501 ] 74 dagshub.auth.tokens - INFO - Removed expired tokens from the token cache
[ 2026-09-11 22:45:52,240 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-09-11 22:45:52,651 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-09-11 22:45:53,199 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-09-11 22:45:53,204 ] 107 dagshub - INFO - Accessing as arunjallawar888
[ 2026-09-11 22:45:53,714 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/arunjallawar888/Network_security "HTTP/1.1 200 OK"
[ 2026-09-11 22:45:54,177 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-09-11 22:45:54,179 ] 107 dagshub - INFO - Initialized MLflow to track repo "arunjallawar888/Network_security"
[ 2026-09-11 22:45:54,180 ] 107 dagshub - INFO - Repository arunjallawar888/Network_security initialized!
[ 2026-09-11 22:45:54,181 ] 20 root - INFO - Initiate the data ingestion process
[ 2026-09-11 22:45:56,088 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-09-11 22:45:56,088 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-09-11 22:45:56,088 ] 75 root - INFO - Exporting train and test file path.
[ 2026-09-11 22:45:56,108 ] 84 root - INFO - Exported train and test file path.
[ 2026-09-11 22:45:56,108 ] 22 root - INFO - Data Initiation Completed
[ 2026-09-11 22:45:56,110 ] 26 root - INFO - Initiate the data Validation
[ 2026-09-11 22:45:56,117 ] 32 root - INFO - Required number of columns:2
[ 2026-09-11 22:45:56,117 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-11 22:45:56,117 ] 32 root - INFO - Required number of columns:2
[ 2026-09-11 22:45:56,117 ] 33 root - INFO - Data frame has columns:31
[ 2026-09-11 22:45:56,174 ] 28 root - INFO - data Validation Completed
[ 2026-09-11 22:45:56,174 ] 31 root - INFO - data Transformation started
[ 2026-09-11 22:45:56,174 ] 54 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-09-11 22:45:56,174 ] 56 root - INFO - Starting data transformation
[ 2026-09-11 22:45:56,181 ] 39 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-09-11 22:45:56,181 ] 44 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-09-11 22:45:56,184 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-11 22:45:56,185 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-11 22:45:56,185 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2026-09-11 22:45:56,186 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2026-09-11 22:45:56,186 ] 35 root - INFO - data Transformation completed
[ 2026-09-11 22:45:56,186 ] 37 root - INFO - Model Training sstared
